loss,likelihood,loss_event,color
165045.0451,0.13596,Ransomware,'#8dd3c7'
165405.4054,0.13541,Ransomware,'#8dd3c7'
165765.7658,0.13442,Ransomware,'#8dd3c7'
166126.1261,0.13376,Ransomware,'#8dd3c7'
166486.4865,0.13354,Ransomware,'#8dd3c7'
166846.8469,0.13266,Ransomware,'#8dd3c7'
167207.2072,0.13156,Ransomware,'#8dd3c7'
167567.5676,0.1309,Ransomware,'#8dd3c7'
167927.9279,0.13013,Ransomware,'#8dd3c7'
168288.2883,0.12903,Ransomware,'#8dd3c7'
168648.6487,0.12771,Ransomware,'#8dd3c7'
169009.009,0.12672,Ransomware,'#8dd3c7'
169369.3694,0.12595,Ransomware,'#8dd3c7'
169729.7297,0.1254,Ransomware,'#8dd3c7'
170090.0901,0.12408,Ransomware,'#8dd3c7'
170450.4505,0.1232,Ransomware,'#8dd3c7'
170810.8108,0.12221,Ransomware,'#8dd3c7'
171171.1712,0.12155,Ransomware,'#8dd3c7'
171531.5315,0.12078,Ransomware,'#8dd3c7'
171891.8919,0.12023,Ransomware,'#8dd3c7'
172252.2523,0.11957,Ransomware,'#8dd3c7'
172612.6126,0.1188,Ransomware,'#8dd3c7'
172972.973,0.11803,Ransomware,'#8dd3c7'
173333.3333,0.11759,Ransomware,'#8dd3c7'
173693.6937,0.1166,Ransomware,'#8dd3c7'
174054.0541,0.11517,Ransomware,'#8dd3c7'
174414.4144,0.11429,Ransomware,'#8dd3c7'
174774.7748,0.11363,Ransomware,'#8dd3c7'
175135.1351,0.11253,Ransomware,'#8dd3c7'
175495.4955,0.11198,Ransomware,'#8dd3c7'
175855.8559,0.11132,Ransomware,'#8dd3c7'
176216.2162,0.11121,Ransomware,'#8dd3c7'
176576.5766,0.11055,Ransomware,'#8dd3c7'
176936.9369,0.10989,Ransomware,'#8dd3c7'
177297.2973,0.10879,Ransomware,'#8dd3c7'
177657.6577,0.10758,Ransomware,'#8dd3c7'
178018.018,0.10637,Ransomware,'#8dd3c7'
178378.3784,0.10549,Ransomware,'#8dd3c7'
178738.7387,0.10505,Ransomware,'#8dd3c7'
179099.0991,0.10417,Ransomware,'#8dd3c7'
179459.4595,0.10351,Ransomware,'#8dd3c7'
179819.8198,0.10241,Ransomware,'#8dd3c7'
180180.1802,0.10153,Ransomware,'#8dd3c7'
180540.5405,0.10109,Ransomware,'#8dd3c7'
180900.9009,0.10032,Ransomware,'#8dd3c7'
181261.2613,0.09988,Ransomware,'#8dd3c7'
181621.6216,0.09944,Ransomware,'#8dd3c7'
181981.982,0.09856,Ransomware,'#8dd3c7'
182342.3423,0.09834,Ransomware,'#8dd3c7'
182702.7027,0.0979,Ransomware,'#8dd3c7'
183063.0631,0.09713,Ransomware,'#8dd3c7'
183423.4234,0.09614,Ransomware,'#8dd3c7'
183783.7838,0.09537,Ransomware,'#8dd3c7'
184144.1441,0.09438,Ransomware,'#8dd3c7'
184504.5045,0.09361,Ransomware,'#8dd3c7'
184864.8649,0.09339,Ransomware,'#8dd3c7'
185225.2252,0.09262,Ransomware,'#8dd3c7'
